seller_id,orders,late_handoffs,late_rate,late_rate_outside_spike
04308b1ee57b6625f47df1d56f00eedf,94,26,0.2765957446808511,0.2982456140350877
25c5c91f63607446a97b143d2d535d31,147,25,0.17006802721088435,0.15671641791044777
bbad7e518d7af88a0897397ffdca1979,65,25,0.38461538461538464,0.3392857142857143
7e93a43ef30c4f03f38b393420bc753a,320,25,0.078125,0.08143322475570032
53243585a1d6dc2643021fd1853d8905,352,24,0.06818181818181818,0.06609195402298851
c826c40d7b19f62a09e2d7c5e7295ee2,351,24,0.06837606837606838,0.10550458715596331
cab85505710c7cb9b720bceb52b01cee,204,24,0.11764705882352941,0.12290502793296089
98dac6635aee4995d501a3972e047414,82,23,0.2804878048780488,0.3181818181818182
6973a06f484aacf400ece213dbf3d946,80,23,0.2875,0.15217391304347827
3db66a856d18a9cba7c9241fc5221c50,93,23,0.24731182795698925,0.20238095238095238
17e34d8224d27a541263c4c64b11a56b,253,23,0.09090909090909091,0.0881057268722467
cac4c8e7b1ca6252d8f20b2fc1a2e4af,70,22,0.3142857142857143,0.3333333333333333
17a053fcb14bd219540cbde0df490be0,123,22,0.17886178861788618,0.1414141414141414
87142160b41353c4e5fca2360caf6f92,301,22,0.07308970099667775,0.06382978723404255
6039e27294dc75811c0d8a39069f52c0,63,22,0.3492063492063492,0.391304347826087
8444e55c1f13cd5c179851e5ca5ebd00,91,22,0.24175824175824176,0.24096385542168675
7d76b645482be4a332374e8223836592,172,22,0.12790697674418605,0.12949640287769784
a673821011d0cec28146ea42f5ab767f,116,21,0.1810344827586207,0.1574074074074074
adbc26658d6c7b4b6219f9d934598091,86,21,0.2441860465116279,0.29577464788732394
1900267e848ceeba8fa32d80c1a5f5a8,363,21,0.05785123966942149,0.06397306397306397
16090f2ca825584b5a147ab24aa30c86,401,21,0.05236907730673317,0.0625
897060da8b9a21f655304d50fd935913,303,20,0.066006600660066,0.056768558951965066
8581055ce74af1daba164fdbd55a40de,382,20,0.05235602094240838,0.043343653250773995
e62b2d6ac10570a035a30bafcf01d263,60,19,0.31666666666666665,0.2702702702702703
7178f9f4dd81dcef02f62acdf8151e01,202,19,0.09405940594059406,0.1
7142540dd4c91e2237acb7e911c4eba2,314,19,0.06050955414012739,0.05737704918032787
6c177e38df6d3f34182b1f1d427231bf,55,19,0.34545454545454546,0.37254901960784315
6fd52c528dcb38be2eea044946b811f8,67,19,0.2835820895522388,0.2
fe2032dab1a61af8794248c8196565c9,289,19,0.0657439446366782,0.07392996108949416
f84fa566034f5e8e880a07ec624c56af,91,19,0.2087912087912088,0.075
a416b6a846a11724393025641d4edd5e,157,19,0.12101910828025478,0.1111111111111111
