group,orders,late_rate,late_rate_%
1 lowest,8100,0.043209876543209874,4.3
2,8149,0.045281629647809546,4.5
3,8061,0.04577595831782657,4.6
4,8090,0.039060568603213844,3.9
5 highest,8094,0.051396095873486536,5.1
