weight_band,orders,late_rate,median_delivery_days,late_rate_%
<0.5 kg,38823,0.06527058702315637,9.765775462962964,6.5
0.5-1 kg,16895,0.06309559041136431,10.101689814814817,6.3
1-2 kg,16406,0.06906009996342802,10.468721064814813,6.9
2-5 kg,11332,0.06962583833392164,10.559895833333334,7.0
5-10 kg,7724,0.07055929570170896,11.107835648148148,7.1
10-20 kg,4013,0.08696735609269873,12.07375,8.7
20+ kg,1255,0.09402390438247012,12.683252314814816,9.4
