lateness_group,orders,avg_score,one_star_rate,one_star_%
Early,88163,4.294000884724885,0.0659233465285891,6.6
On the day,1280,4.03359375,0.08515625,8.5
1-3 days late,1852,3.291036717062635,0.25107991360691145,25.1
4-7 days late,1748,2.104691075514874,0.585812356979405,58.6
8-14 days late,1446,1.6708160442600277,0.7060857538035962,70.6
15+ days late,1335,1.7228464419475655,0.6906367041198502,69.1
