group,orders,from_value,to_value,late_rate,late_rate_%
1 lowest,19294,0.0,11.500718794924682,0.06805224422100135,6.8
2,19294,11.501000667111407,18.295589988081048,0.0661345496009122,6.6
3,19301,18.29729729729729,27.362270450751254,0.06434899746127144,6.4
4,19296,27.363770250368187,43.49617422012949,0.06970356550580431,7.0
5 highest,19285,43.49881796690308,2144.705882352941,0.07041742286751361,7.0
