group,orders,from_value,to_value,late_rate,late_rate_%
1 lowest,19452,0.85,39.0,0.05891425046267736,5.9
2,19178,39.1,67.9,0.06559599541140891,6.6
3,19253,67.91,106.6,0.06601568586713759,6.6
4,19298,106.7,175.0,0.07332366048295161,7.3
5 highest,19289,175.01,13440.0,0.07486131992327233,7.5
